annotated_form_rank,model,normalised_annotated_text,distinct_annotations,affected_documents,affected_archives,affected_reviewers,example_surface_forms,example_documents,archives,reviewers,most_common_error_category,most_common_subrule,most_common_rule_assignments,all_rule_assignments,cross_context_prompt_candidate,display_label
1939,Llama 3.3 70B · 12 000 TPM,porque,1,1,1,1,porque,AGN_HospJesus_c474_leg267-2_exp024_7473-7537_10,agn_hospjesus,Arturo,Cambios,Deleción,1,Cambios — Deleción,False,porque
1940,Llama 3.3 70B · 12 000 TPM,porque es,1,1,1,1,porque es,BnF_118_08,bnf_118,Arturo,Abreviaturas,"Excepciones (desto/a/os, dello/a/os)",1,"Abreviaturas — Excepciones (desto/a/os, dello/a/os)",False,porque es
1941,Llama 3.3 70B · 12 000 TPM,"porque, amenazando",1,1,1,1,"porque, amenazando",BnF_266_07,bnf_266,Paco,Cambios,Deleción,1,Cambios — Deleción,False,"porque, amenazando"
1942,Llama 3.3 70B · 12 000 TPM,pos es r.,1,1,1,1,pos es r.,BnF_110_29,bnf_110,Paloma,Abreviaturas,Expansión completa,1,Abreviaturas — Expansión completa,False,pos es r.
1943,GPT OSS 120B · 8 000 TPM,pose,1,1,1,1,pose,BnF_112_25,bnf_112,Paco,Cambios,Inserción,1,Cambios — Inserción | Puntuación — Punto (.),False,pose
1944,Llama 3.3 70B · 12 000 TPM,poseedor,1,1,1,1,poseedor,BnF_117_13,bnf_117,Paco,Abreviaturas,Expansión completa,1,Abreviaturas — Expansión completa | Cambios — Inserción | Cambios — Sustitución,False,poseedor
1945,Llama 3.3 70B · 12 000 TPM,poseído,1,1,1,1,poseído,BnF_117_08,bnf_117,Edna,Cambios,Sustitución,1,Cambios — Sustitución,False,poseído
1946,Llama 3.3 70B · 12 000 TPM,"poseído, y",1,1,1,1,"poseído, y",AGN_HospJesus_c474_leg267-2_exp024_7473-7537_10,agn_hospjesus,Arturo,Puntuación,"Coma (,)",1,"Puntuación — Coma (,)",False,"poseído, y"
1947,GPT OSS 120B · 8 000 TPM,postela,1,1,1,1,postela,AGI_GUADALAJARA_230_L2_F_45V-46V_2,agi_guadalajara,Adriana,Filológicas - mecánicas,Regularización de nasales ante labial,1,Filológicas - mecánicas — Regularización de nasales ante labial,False,postela
1948,GPT OSS 120B · 8 000 TPM,posã¡is,1,1,1,1,posÃ¡is,AGN_Mercedes_v003_exp520,agn_mercedes,Alba,Acentuación,No sub-rule assigned,1,Acentuación — No sub-rule assigned | Cambios — No sub-rule assigned,False,posã¡is
1949,Llama 3.3 70B · 12 000 TPM,pozo,1,1,1,1,Pozo,BnF_032_33,bnf_032,Adriana,Abreviaturas,Expansión completa,1,Abreviaturas — Expansión completa,False,pozo
1950,GPT OSS 120B · 8 000 TPM,pra,1,1,1,1,pra,BnF_111_20,bnf_111,Flor,Abreviaturas,Expansión completa,1,Abreviaturas — Expansión completa,False,pra
1951,GPT OSS 120B · 8 000 TPM,pradas,1,1,1,1,Pradas,AGN_GralParte_v006_exp617_01,agn_gralparte,Rodrigo,Cambios,Otros,1,Cambios — Otros,False,pradas
1952,GPT OSS 120B · 8 000 TPM,prco,1,1,1,1,prco,AGI_PATRONATO_182_R3_04,agi_patronato,Paco,Abreviaturas,Expansión completa,1,Abreviaturas — Expansión completa,False,prco
1953,Llama 3.3 70B · 12 000 TPM,predecesores,1,1,1,1,predecesores,AGN_HospJesus_c474_leg267-2_exp024_7473-7537_10,agn_hospjesus,Arturo,Cambios,Deleción,1,Cambios — Deleción,False,predecesores
1954,Llama 3.3 70B · 12 000 TPM,predicador,1,1,1,1,predicador,Mechoacan_Yurirapundaro_1,mechoacan_yurirapundaro,Adriana,Cambios,Inserción,1,Cambios — Inserción,False,predicador
1955,GPT OSS 120B · 8 000 TPM,presentacion,1,1,1,1,presentacion,BnF_113_22,bnf_113,Paloma,Acentuación,No sub-rule assigned,1,Acentuación — No sub-rule assigned,False,presentacion
1956,GPT OSS 120B · 8 000 TPM,presentado .,1,1,1,1,presentado .,BnF_112_02,bnf_112,Arturo,Puntuación,Punto (.),1,Puntuación — Punto (.),False,presentado .
1957,Llama 3.3 70B · 12 000 TPM,"presente, y",1,1,1,1,"presente, y",BnF_244_03,bnf_244,Arturo,Puntuación,"Coma (,)",1,"Puntuación — Coma (,)",False,"presente, y"
1958,Llama 3.3 70B · 12 000 TPM,presidente y oidores,1,1,1,1,Presidente y oidores,BnF_119-148_33,bnf_119-148,Paloma,Cambios,Sustitución,1,Cambios — Sustitución,False,presidente y oidores
1959,Llama 3.3 70B · 12 000 TPM,"presidio, y",1,1,1,1,"Presidio, y",BnF_174_03,bnf_174,Arturo,Cambios,No sub-rule assigned,1,"Cambios — No sub-rule assigned | Puntuación — Coma (,)",False,"presidio, y"
1960,Llama 3.3 70B · 12 000 TPM,preso,1,1,1,1,preso,BnF_110_33,bnf_110,Alba,Abreviaturas,No sub-rule assigned,1,Abreviaturas — No sub-rule assigned,False,preso
1961,GPT OSS 120B · 8 000 TPM,prestado,1,1,1,1,prestado,AGN_Indios_v019_exp354_2,agn_indios,Alba,Abreviaturas,Expansión completa,1,Abreviaturas — Expansión completa,False,prestado
1962,GPT OSS 120B · 8 000 TPM,prestes,1,1,1,1,prestes,AGN_IndiferenteVirreinal_caja4071_exp024_2,agn_indiferentevirreinal,Paloma,Abreviaturas,Expansión completa,1,Abreviaturas — Expansión completa | Filológicas - mecánicas — Simplificación de grupos consonánticos,False,prestes
1963,Llama 3.3 70B · 12 000 TPM,presto,1,1,1,1,presto,AGN_GralParte_v006_exp617_02,agn_gralparte,Rodrigo,Abreviaturas,Expansión completa,1,Abreviaturas — Expansión completa | Cambios — Sustitución,False,presto
1964,Llama 3.3 70B · 12 000 TPM,"presto, os",1,1,1,1,"presto, os",AGN_Indios_v009_exp002_fs3v-4_01,agn_indios,Arturo,Cambios,Sustitución,1,"Cambios — Sustitución | Puntuación — Coma (,)",False,"presto, os"
1965,GPT OSS 120B · 8 000 TPM,prezen,1,1,1,1,prezen,BnF_113_22,bnf_113,Paloma,Filológicas - mecánicas,Regularización de sibilantes,1,Filológicas - mecánicas — Regularización de sibilantes,False,prezen
1966,GPT OSS 120B · 8 000 TPM,primcipal,1,1,1,1,primcipal,AGI_CONTRATACION_1183_N8_78,agi_contratacion,Adriana,Filológicas - mecánicas,No sub-rule assigned,1,Filológicas - mecánicas — No sub-rule assigned,False,primcipal
1967,Llama 3.3 70B · 12 000 TPM,primero,1,1,1,1,primero,BnF_244_04,bnf_244,Edna,Cambios,Deleción,1,Cambios — Deleción,False,primero
1968,Llama 3.3 70B · 12 000 TPM,primero de junio,1,1,1,1,primero de junio,AGN_AHHacienda_v268_exp046_02,agn_ahhacienda,Paloma,Cambios,Deleción,1,Cambios — Deleción,False,primero de junio
1969,Llama 3.3 70B · 12 000 TPM,primo ni,1,1,1,1,primo ni,BnF_117_08,bnf_117,Edna,Puntuación,"Coma (,)",1,"Puntuación — Coma (,)",False,primo ni
1970,Llama 3.3 70B · 12 000 TPM,probar,1,1,1,1,probar,BnF_119-148_33,bnf_119-148,Paloma,Cambios,Sustitución,1,Cambios — Sustitución,False,probar
1971,GPT OSS 120B · 8 000 TPM,probicion,1,1,1,1,probicion,BnF_113_04,bnf_113,Paco,Acentuación,No sub-rule assigned,1,Acentuación — No sub-rule assigned,False,probicion
1972,GPT OSS 120B · 8 000 TPM,probision,1,1,1,1,probision,BnF_111_20,bnf_111,Flor,Filológicas - instrucciones,Regularización de labiales (b/v),1,Filológicas - instrucciones — Regularización de labiales (b/v),False,probision
1973,Llama 3.3 70B · 12 000 TPM,probisión,1,1,1,1,probisión,BnF_111_22,bnf_111,Paloma,Filológicas - instrucciones,Regularización de labiales (b/v),1,Filológicas - instrucciones — Regularización de labiales (b/v),False,probisión
1974,Llama 3.3 70B · 12 000 TPM,"proceso. hasta aquí, cinco reales. salazar",1,1,1,1,"proceso. Hasta aquí, cinco reales. Salazar",BnF_032_39,bnf_032,Paloma,Cambios,Inserción,1,Cambios — Inserción | Filológicas - instrucciones — Regularización de labiales (b/v),False,"proceso. hasta aquí, cinco reales. salazar"
1975,Llama 3.3 70B · 12 000 TPM,procuradores. en,1,1,1,1,procuradores. En,AGN_HospJesus_c474_leg267-2_exp024_7473-7537_02,agn_hospjesus,Paco,Puntuación,Punto (.),1,Puntuación — Punto (.),False,procuradores. en
1976,Llama 3.3 70B · 12 000 TPM,procuraseis,1,1,1,1,procuraseis,UIA_Ms149_Exp2_51,uia_ms149,Arturo,Cambios,Sustitución,1,Cambios — Sustitución,False,procuraseis
1977,Llama 3.3 70B · 12 000 TPM,procurasteis,1,1,1,1,procurasteis,UIA_Ms149_Exp2_51,uia_ms149,Arturo,Cambios,Sustitución,1,Cambios — Sustitución,False,procurasteis
1978,GPT OSS 120B · 8 000 TPM,prohibido,1,1,1,1,prohibido,AGS_CE_RG_L379_01,ags_ce,Javier,Cambios,Sustitución,1,Cambios — Sustitución,False,prohibido
1979,Llama 3.3 70B · 12 000 TPM,pronto,1,1,1,1,pronto,BnF_110_09,bnf_110,Alba,Cambios,Sustitución,1,Cambios — Sustitución,False,pronto
1980,Llama 3.3 70B · 12 000 TPM,propia,1,1,1,1,propia,utblac_wbs_0912a_duplicated,utblac_wbs,Arturo,Cambios,Deleción,1,Cambios — Deleción,False,propia
1981,Llama 3.3 70B · 12 000 TPM,propia. la,1,1,1,1,propia. La,LoC_HPKraus_146_new_13,loc_hpkraus,Paco,Cambios,Deleción,1,Cambios — Deleción,False,propia. la
1982,Llama 3.3 70B · 12 000 TPM,propongo,1,1,1,1,propongo,AGN_Indios_v009_exp002_fs3v-4_01,agn_indios,Arturo,Cambios,Sustitución,1,Cambios — Sustitución,False,propongo
1983,Llama 3.3 70B · 12 000 TPM,prorrogaba la,1,1,1,1,prorrogaba la,BnF_118_06,bnf_118,Edna,Cambios,Deleción,1,Cambios — Deleción,False,prorrogaba la
1984,GPT OSS 120B · 8 000 TPM,prorrogdo,1,1,1,1,prorrogdo,AGN_AHHacienda_v268_exp046_01,agn_ahhacienda,Adriana,Abreviaturas,No sub-rule assigned,1,Abreviaturas — No sub-rule assigned,False,prorrogdo
1985,GPT OSS 120B · 8 000 TPM,provehera,1,1,1,1,provehera,AGN_Indios_v019_exp354_2,agn_indios,Alba,Acentuación,No sub-rule assigned,1,Acentuación — No sub-rule assigned | Filológicas - instrucciones — Regularización de H etimológica,False,provehera
1986,Llama 3.3 70B · 12 000 TPM,proveo,1,1,1,1,proveo,AGN_Inquisicion_v1570A_exp134_fs159-160v_02,agn_inquisicion,Adriana,Cambios,Sustitución,1,Cambios — Sustitución,False,proveo
1987,GPT OSS 120B · 8 000 TPM,proveyese. y,1,1,1,1,proveyese. y,BnF_116_02,bnf_116,Paco,Puntuación,No sub-rule assigned,1,Puntuación — No sub-rule assigned,False,proveyese. y
1988,Llama 3.3 70B · 12 000 TPM,proveído cumplidamente,1,1,1,1,proveído cumplidamente,utblac_wbs_1433_duplicated_1,utblac_wbs,Rodrigo,Cambios,Deleción,1,Cambios — Deleción,False,proveído cumplidamente
1989,GPT OSS 120B · 8 000 TPM,provia,1,1,1,1,provia,AGN_GralParte_v006_exp617_01,agn_gralparte,Rodrigo,Abreviaturas,Expansión completa,1,Abreviaturas — Expansión completa,False,provia
1990,GPT OSS 120B · 8 000 TPM,provieron,1,1,1,1,provieron,BnF_116_02,bnf_116,Paco,Abreviaturas,Expansión completa,1,Abreviaturas — Expansión completa | Cambios — Inserción,False,provieron
1991,Llama 3.3 70B · 12 000 TPM,"provincias,",1,1,1,1,"Provincias,",BnF_174_02,bnf_174,Javier,Puntuación,"Coma (,)",1,"Puntuación — Coma (,)",False,"provincias,"
1992,GPT OSS 120B · 8 000 TPM,provo,1,1,1,1,provo,BnF_032_36,bnf_032,Paco,Abreviaturas,Expansión completa,1,Abreviaturas — Expansión completa,False,provo
1993,GPT OSS 120B · 8 000 TPM,ps.,1,1,1,1,ps.,BNE_ms3047_1,bne_ms3047,Rodrigo,Abreviaturas,Expansión completa,1,Abreviaturas — Expansión completa,False,ps.
1994,Llama 3.3 70B · 12 000 TPM,psión,1,1,1,1,psión,BnF_032_39,bnf_032,Paloma,Abreviaturas,Expansión completa,1,Abreviaturas — Expansión completa | Filológicas - instrucciones — Regularización de labiales (b/v),False,psión
1995,GPT OSS 120B · 8 000 TPM,psonas,1,1,1,1,psonas,BnF_032_36,bnf_032,Paco,Abreviaturas,Expansión completa,1,Abreviaturas — Expansión completa,False,psonas
1996,GPT OSS 120B · 8 000 TPM,pta,1,1,1,1,pta,AGN_AHHacienda_v1292_exp135,agn_ahhacienda,Javier,Abreviaturas,Expansión completa,1,Abreviaturas — Expansión completa,False,pta
1997,GPT OSS 120B · 8 000 TPM,pts,1,1,1,1,pts,BnF_032_36,bnf_032,Paco,Abreviaturas,Expansión completa,1,Abreviaturas — Expansión completa,False,pts
1998,GPT OSS 120B · 8 000 TPM,pturbe,1,1,1,1,pturbe,BnF_032_36,bnf_032,Paco,Abreviaturas,Expansión completa,1,Abreviaturas — Expansión completa,False,pturbe
1999,Llama 3.3 70B · 12 000 TPM,pueblecitos,1,1,1,1,pueblecitos,AGI_INDIFERENTE_1529_N36_07,agi_indiferente,Rodrigo,Cambios,Sustitución,1,Cambios — Sustitución,False,pueblecitos
2000,Llama 3.3 70B · 12 000 TPM,pueda,1,1,1,1,pueda,BnF_119-148_33,bnf_119-148,Paloma,Cambios,Sustitución,1,Cambios — Sustitución,False,pueda
2001,Llama 3.3 70B · 12 000 TPM,"puertos, y",1,1,1,1,"puertos, y",BnF_174_03,bnf_174,Arturo,Puntuación,"Coma (,)",1,"Puntuación — Coma (,)",False,"puertos, y"
2002,GPT OSS 120B · 8 000 TPM,pues,1,1,1,1,pues,AGN_Indios_v019_exp354_2,agn_indios,Alba,Abreviaturas,Expansión completa,1,Abreviaturas — Expansión completa,False,pues
2003,Llama 3.3 70B · 12 000 TPM,punción,1,1,1,1,punción,BnF_110_33,bnf_110,Alba,Cambios,Sustitución,1,Cambios — Sustitución,False,punción
2004,Llama 3.3 70B · 12 000 TPM,"puntualidad, y",1,1,1,1,"puntualidad, y",BnF_244_03,bnf_244,Arturo,Puntuación,"Coma (,)",1,"Puntuación — Coma (,)",False,"puntualidad, y"
2005,Llama 3.3 70B · 12 000 TPM,"puse, y",1,1,1,1,"puse, y",BnF_032_23,bnf_032,Arturo,Puntuación,"Coma (,)",1,"Puntuación — Coma (,)",False,"puse, y"
2006,GPT OSS 120B · 8 000 TPM,puó,1,1,1,1,puó,BnF_030_21,bnf_030,Edna,Abreviaturas,No sub-rule assigned,1,Abreviaturas — No sub-rule assigned | Cambios — No sub-rule assigned,False,puó
2007,Llama 3.3 70B · 12 000 TPM,pã³ngala,1,1,1,1,pÃ³ngala,BnF_266_05,bnf_266,Adriana,Cambios,Otros,1,Cambios — Otros | Cambios — Sustitución,False,pã³ngala
2008,Llama 3.3 70B · 12 000 TPM,pãºlpito,1,1,1,1,pÃºlpito,BnF_266_05,bnf_266,Adriana,Cambios,Otros,1,Cambios — Otros | Cambios — Sustitución,False,pãºlpito
2009,GPT OSS 120B · 8 000 TPM,pérez,1,1,1,1,Pérez,AGN_Indios_v019_exp354_2,agn_indios,Alba,Acentuación,No sub-rule assigned,1,Acentuación — No sub-rule assigned,False,pérez
2010,GPT OSS 120B · 8 000 TPM,q a,1,1,1,1,q a,BnF_113_22,bnf_113,Paloma,Abreviaturas,Expansión completa,1,Abreviaturas — Expansión completa | Filológicas - instrucciones — Regularización de H etimológica,False,q a
2011,GPT OSS 120B · 8 000 TPM,q dixo,1,1,1,1,q dixo,BnF_113_22,bnf_113,Paloma,Abreviaturas,No sub-rule assigned,1,Abreviaturas — No sub-rule assigned | Filológicas - instrucciones — x sibilante → j,False,q dixo
2012,GPT OSS 120B · 8 000 TPM,q hara,1,1,1,1,q hara,AGN_RealesCedDup_v050_exp062,agn_realesceddup,Paloma,Abreviaturas,Expansión completa,1,Abreviaturas — Expansión completa,False,q hara
2013,GPT OSS 120B · 8 000 TPM,q se,1,1,1,1,q se,AGN_RealesCedDup_v050_exp062,agn_realesceddup,Paloma,Abreviaturas,Expansión completa,1,Abreviaturas — Expansión completa,False,q se
2014,GPT OSS 120B · 8 000 TPM,q todo,1,1,1,1,q todo,BnF_113_22,bnf_113,Paloma,Abreviaturas,Expansión completa,1,Abreviaturas — Expansión completa,False,q todo
2015,GPT OSS 120B · 8 000 TPM,q yra,1,1,1,1,q yra,BnF_112_04,bnf_112,Paloma,Abreviaturas,No sub-rule assigned,1,Abreviaturas — No sub-rule assigned | Filológicas - instrucciones — Regularización de i/y vocálicas,False,q yra
2016,GPT OSS 120B · 8 000 TPM,qdaron,1,1,1,1,qdaron,BnF_032_36,bnf_032,Paco,Abreviaturas,Expansión completa,1,Abreviaturas — Expansión completa,False,qdaron
2017,GPT OSS 120B · 8 000 TPM,qel,1,1,1,1,qel,AGN_GralParte_v006_exp617_01,agn_gralparte,Rodrigo,Abreviaturas,No sub-rule assigned,1,Abreviaturas — No sub-rule assigned | Cambios — Otros,False,qel
2018,GPT OSS 120B · 8 000 TPM,qles,1,1,1,1,qles,BnF_111_20,bnf_111,Flor,Abreviaturas,Expansión completa,1,Abreviaturas — Expansión completa,False,qles
2019,GPT OSS 120B · 8 000 TPM,qo,1,1,1,1,qo,AGI_CONTRATACION_1091_N3_098,agi_contratacion,Javier,Abreviaturas,Expansión completa,1,Abreviaturas — Expansión completa,False,qo
2020,GPT OSS 120B · 8 000 TPM,qt,1,1,1,1,qt,AGN_AHHacienda_v268_exp046_01,agn_ahhacienda,Adriana,Abreviaturas,Expansión completa,1,Abreviaturas — Expansión completa,False,qt
2021,Llama 3.3 70B · 12 000 TPM,qta,1,1,1,1,qta,AGI_CONTRATACION_1089_N8_151,agi_contratacion,Paco,Abreviaturas,Expansión completa,1,Abreviaturas — Expansión completa,False,qta
2022,Llama 3.3 70B · 12 000 TPM,que aclarasen,1,1,1,1,que aclarasen,BnF_032_23,bnf_032,Arturo,Cambios,Deleción,1,Cambios — Deleción,False,que aclarasen
2023,Llama 3.3 70B · 12 000 TPM,que aquellas,1,1,1,1,que aquellas,BnF_264_12,bnf_264,Edna,Cambios,Deleción,1,Cambios — Deleción,False,que aquellas
2024,Llama 3.3 70B · 12 000 TPM,que conozco,1,1,1,1,que conozco,BnF_032_23,bnf_032,Arturo,Cambios,Sustitución,1,Cambios — Sustitución,False,que conozco
2025,Llama 3.3 70B · 12 000 TPM,que cuanto,1,1,1,1,que cuanto,AGN_IndiferenteVirreinal_caja4071_exp024_1,agn_indiferentevirreinal,Rodrigo,Abreviaturas,Expansión completa,1,Abreviaturas — Expansión completa | Cambios — Deleción,False,que cuanto
2026,Llama 3.3 70B · 12 000 TPM,que cupieron,1,1,1,1,que cupieron,BnF_266_10,bnf_266,Flor,Cambios,Deleción,1,Cambios — Deleción,False,que cupieron
2027,GPT OSS 120B · 8 000 TPM,que de,1,1,1,1,que de,BnF_030_20,bnf_030,Paloma,Cambios,Sustitución,1,Cambios — Sustitución,False,que de
2028,Llama 3.3 70B · 12 000 TPM,que el que,1,1,1,1,que el que,BP_CM_R481_071_2,bp_cm,Adriana,Cambios,Deleción,1,Cambios — Deleción | Cambios — Sustitución,False,que el que
2029,GPT OSS 120B · 8 000 TPM,que el siguiente,1,1,1,1,que el siguiente,AGN_Indios_v002_exp835,agn_indios,Paloma,Cambios,Sustitución,1,Cambios — Sustitución,False,que el siguiente
2030,Llama 3.3 70B · 12 000 TPM,que en,1,1,1,1,que en,UIA_Ms149_Exp2_51,uia_ms149,Arturo,Cambios,Deleción,1,Cambios — Deleción,False,que en
2031,GPT OSS 120B · 8 000 TPM,que es,1,1,1,1,que es,AGI_INDIFERENTE_2065_N45_09,agi_indiferente,Rodrigo,Cambios,Inserción,1,Cambios — Inserción,False,que es
2032,Llama 3.3 70B · 12 000 TPM,que esta,1,1,1,1,que esta,BnF_032_33,bnf_032,Adriana,Cambios,Sustitución,1,Cambios — Sustitución,False,que esta
2033,Llama 3.3 70B · 12 000 TPM,que fueron,1,1,1,1,que fueron,BnF_104_3,bnf_104,Alba,Cambios,Deleción,1,Cambios — Deleción,False,que fueron
2034,Llama 3.3 70B · 12 000 TPM,que han,1,1,1,1,que han,BnF_118_05,bnf_118,Alba,Cambios,Sustitución,1,Cambios — Sustitución | Filológicas - instrucciones — Regularización de H etimológica,False,que han
2035,Llama 3.3 70B · 12 000 TPM,que he residido,1,1,1,1,que he residido,AGI_INDIFERENTE_1529_N8_06,agi_indiferente,Rodrigo,Cambios,Deleción,1,Cambios — Deleción | Cambios — Sustitución,False,que he residido
2036,Llama 3.3 70B · 12 000 TPM,que lo entienden,1,1,1,1,que lo entienden,AGI_INDIFERENTE_1529_N8_06,agi_indiferente,Rodrigo,Cambios,Inserción,1,Cambios — Inserción | Cambios — Sustitución,False,que lo entienden
2037,Llama 3.3 70B · 12 000 TPM,que marcarles,1,1,1,1,que marcarles,BnF_111_27,bnf_111,Alba,Cambios,Sustitución,1,Cambios — Sustitución,False,que marcarles
2038,Llama 3.3 70B · 12 000 TPM,que morirnos de hambre,1,1,1,1,que morirnos de hambre,BnF_266_06,bnf_266,Adriana,Cambios,Inserción,1,Cambios — Inserción | Cambios — Sustitución,False,que morirnos de hambre
2039,Llama 3.3 70B · 12 000 TPM,que os,1,1,1,1,que os,BnF_118_08,bnf_118,Arturo,Cambios,Deleción,1,Cambios — Deleción,False,que os
2040,Llama 3.3 70B · 12 000 TPM,que pueda,1,1,1,1,que pueda,BP_CM_R481_016,bp_cm,Arturo,Abreviaturas,No sub-rule assigned,1,Abreviaturas — No sub-rule assigned | Cambios — Sustitución,False,que pueda
2041,Llama 3.3 70B · 12 000 TPM,que puse,1,1,1,1,que puse,BnF_075_003,bnf_075,Adriana,Cambios,Sustitución,1,Cambios — Sustitución,False,que puse
2042,Llama 3.3 70B · 12 000 TPM,que quiera,1,1,1,1,que quiera,BnF_032_23,bnf_032,Arturo,Cambios,Inserción,1,Cambios — Inserción | Cambios — Sustitución,False,que quiera
2043,Llama 3.3 70B · 12 000 TPM,que se había,1,1,1,1,que se había,BnF_117_03,bnf_117,Arturo,Cambios,Sustitución,1,Cambios — Sustitución,False,que se había
2044,Llama 3.3 70B · 12 000 TPM,que se las dejó,1,1,1,1,que se las dejó,BnF_112_08,bnf_112,Paloma,Cambios,Deleción,1,Cambios — Deleción | Cambios — Inserción,False,que se las dejó
2045,Llama 3.3 70B · 12 000 TPM,que también,1,1,1,1,que también,BnF_032_23,bnf_032,Arturo,Cambios,Deleción,1,Cambios — Deleción,False,que también
2046,Llama 3.3 70B · 12 000 TPM,que vaya,1,1,1,1,que vaya,LoC_HPKraus_138_new_07,loc_hpkraus,Edna,Abreviaturas,No sub-rule assigned,1,Abreviaturas — No sub-rule assigned,False,que vaya
2047,Llama 3.3 70B · 12 000 TPM,que él dijo,1,1,1,1,que él dijo,BnF_266_06,bnf_266,Adriana,Cambios,Sustitución,1,Cambios — Sustitución,False,que él dijo
2048,Llama 3.3 70B · 12 000 TPM,"que,",1,1,1,1,"que,",BnF_111_27,bnf_111,Alba,Cambios,Sustitución,1,Cambios — Sustitución,False,"que,"
2049,Llama 3.3 70B · 12 000 TPM,"que, si",1,1,1,1,"que, si",AGN_GralParte_v001_exp1020_01,agn_gralparte,Paloma,Cambios,Deleción,1,Cambios — Deleción,False,"que, si"
2050,Llama 3.3 70B · 12 000 TPM,quebedo,1,1,1,1,Quebedo,AGI_CONTRATACION_1089_N8_176,agi_contratacion,Flor,Filológicas - instrucciones,Regularización de labiales (b/v),1,Filológicas - instrucciones — Regularización de labiales (b/v),False,quebedo
2051,GPT OSS 120B · 8 000 TPM,quedan,1,1,1,1,quedan,BnF_112_02,bnf_112,Arturo,Cambios,Sustitución,1,Cambios — Sustitución | Puntuación — Punto (.),False,quedan
2052,GPT OSS 120B · 8 000 TPM,quedó,1,1,1,1,quedó,BnF_075_014,bnf_075,Alba,Cambios,No sub-rule assigned,1,Cambios — No sub-rule assigned,False,quedó
2053,Llama 3.3 70B · 12 000 TPM,quemarã­a,1,1,1,1,quemarÃ­a,BnF_266_05,bnf_266,Adriana,Cambios,Otros,1,Cambios — Otros | Cambios — Sustitución,False,quemarã­a
2054,GPT OSS 120B · 8 000 TPM,quenta,1,1,1,1,quenta,AGN_GralParte_v006_exp617_01,agn_gralparte,Rodrigo,Filológicas - mecánicas,Adecuación de grafía labiovelar,1,Filológicas - mecánicas — Adecuación de grafía labiovelar,False,quenta
2055,Llama 3.3 70B · 12 000 TPM,queros,1,1,1,1,queros,BnF_111_27,bnf_111,Alba,Filológicas - mecánicas,Adecuación de grafía labiovelar,1,Filológicas - mecánicas — Adecuación de grafía labiovelar,False,queros
2056,Llama 3.3 70B · 12 000 TPM,querã­an,1,1,1,1,querÃ­an,BnF_266_05,bnf_266,Adriana,Cambios,Otros,1,Cambios — Otros | Cambios — Sustitución,False,querã­an
